"","id","section_id","name"
"1",27300441195415,24964311880727,"A7"
"2",27285161827223,27012849697815,"PP&D Position Numbers (from UF)"
"3",27257791840023,24965817753239,"SAP Reports / Data pull"
"4",27254035026967,27012849697815,"Safety Equipment for TIs"
"5",27245987642647,24964457266583,"ISA CEU Credits"
"6",27233199679127,4403569040535,"CSZ 311 Front Desk iPhone Cell Phone"
"7",27013005062167,27012849697815,"Procurement"
"8",26988651435543,24964480948119,"Personal Use of a City Vehicle Forms"
"9",26988668788759,24964457266583,"ODA Pesticide Applicator's License"
"10",26987185310487,24964311880727,"Software License Dashboards"
"11",26985130067735,25815509168791,"FOR REPORTS THAT ARE ABOUT INDIVIDUAL BEHAVIORS OR PROBLEMS WITH A PERSON, ALSO INCLUDE THIS SECTION:"
"12",26985097660695,25815509168791,"Response to INTERNAL (Security) incident reports"
"13",26982611994263,25815509168791,"City Driver Complaints"
"14",26982560143895,25815509168791,"Park Maintenance or Safety Issue Response (311 form)"
"15",26982506858775,25815509168791,"Sharps/Needles in Parks – SPECIFIC TO Volunteers ONLY"
"16",26982443130263,25815509168791,"Damage to property related to park maintenance (like wet paint)"
"17",26982430267031,25815509168791,"Request to Discuss Safety Improvement Opportunities Directly with Parks Staff"
"18",26982395931031,25815509168791,"Maintenance Issue - Thank You - Routed"
"19",26982340366615,25815509168791,"Dog Off Leash Issue Response"
"20",26976708299031,23355644431255,"Bike and Walk Bucks Program"
"21",26975191691415,23355644431255,"Human Resources"
"22",26964131090455,25815509168791,"Light Pole Removal Project"
"23",26960634254487,24964311880727,"Smartsheet"
"24",26930695547415,26789085522711,"Info on City Structures and Bridges"
"25",26799230730775,9939959898263,"Info on Portland Bureau of Transportation Maintenance (PBOT MO)"
"26",26784585894551,4403569054231,"Attend, Participate, Testify, or Comment at a City Council Meeting"
"27",26681146150935,11572582901527,"Water Bureau Major Construction Projects"
"28",26660451866007,10638641309847,"Apply for a Commercial Building Permit or Inspection (Electrical, Plumbing, Mechanical etc.)"
"29",26631103476759,27099152898071,"CSZ Thumb Drive Downloads / ASL Sign Language Interpreter Chromebooks"
"30",26618761783191,5748031941399,"Extreme Heat: September 2024"
"31",26605408185111,4403576690455,"Multnomah County HIV and Sexually Transmitted Infections (STD/STI) Services"
"32",26484705910295,24940961209367,"Water Bureau Financial Assistance Program"
"33",26472188166807,24964311880727,"Excel"
"34",26459307984407,23355655499031,"Code Compliance Resources for Tree Tech Team"
"35",26419980103191,13087310179223,"Ticket Coordination"
"36",26410081979287,24964311880727,"Microsoft 365"
"37",26298595247767,24964480948119,"Driving Permissions"
"38",26298441077271,24570084424343,"Zendesk Quick Start Guide"
"39",26285327523223,5748031941399,"TEMPLATE: Emergency event: Event name and dates"
"40",26260062368919,13087310179223,"Mayor's Office: Ticket Triage"
"41",26142215250327,20708256067863,"Daily metered parking fees for night hours."
"42",26113815211031,24964360154775,"Hiring Process - General Overview and Resources"
"43",26111676644759,24964305699095,"General Phone info, Landlines + Soft phones"
"44",26111401788311,24964305699095,"BTS Cellular : iphones and ipads"
"45",26111248726039,24964234765591,"Types of Supplies"
"46",26035567757847,24965817753239,"Sign on behalf of..."
"47",26035501430167,24965817753239,"Change of Address"
"48",26035480504343,24965746580759,"Parks and Rec All Email List"
"49",26035376013207,23355644431255,"Inter-bureau Mitigation Fees"
"50",26035329002263,23355644431255,"Storm Protocol"
"51",26035250763159,24965817753239,"Vacation Coverage"
"52",26035117992087,23355644431255,"Offboarding"
"53",26034990661783,24964447284247,"CityLearner"
"54",26034911641111,24964447284247,"Professional Development Training"
"55",26033830251415,23355644431255,"Workplace Framework Requirements/ Half-time hybrid exceptions"
"56",26033731630359,23355644431255,"Work Location Status"
"57",26033655504663,25974298763543,"UF Website"
"58",26033616096151,24964447284247,"Travel Authorization Forms"
"59",25980332120471,24964439012119,"Time Requests and OOO"
"60",25980234959255,24964439012119,"Timekeeping for CSAs (hourly employees)"
"61",25980006452887,24964439012119,"Timesheet codes"
