row,date,avg_speed_ans,avg_aban_time,ACD_calls,avg_talk_time,avg_after_call,aban_calls,max_delay,flow_in,flow_out,extn_out_calls,avg_talk_time_out,dqd_calls,Avg_queue_time,perc_acd_time,perc_ans,rona,perc_in_sl,Skill
1,8/2/2021,13.52666664,12.83333302,450,98.35111237,15.14666653,24,159,13,13,325,9.107692719,0,,56.51,92.4,13,91.99,I_R English 31
2,8/2/2021,8,,1,64,0,0,8,0,0,1,0,0,,0.07,100,0,100,I_R Spanish 32
3,8/2/2021,12.25,7,4,68,0,1,19,0,0,2,1,0,,0.11,80,0,0,ONI
4,8/2/2021,8.199999809,,5,294.2000122,0,0,13,0,0,1,1,0,,0.59,100,0,0,Noise Control
5,8/2/2021,10.5,,12,162.0833282,33.25,0,16,0,0,3,0.666666687,0,,0.94,100,0,0,PKS Washington 311
6,8/2/2021,10.66666698,17,9,216.6666718,0,2,22,0,0,5,6,0,,0.92,81.82,0,0,PBOT Safe
7,8/2/2021,22.80769157,39.40000153,78,78.74359131,0,5,335,0,0,58,5.120689869,0,,11.97,93.98,0,0,PBOT Main
8,8/2/2021,,,0,,,0,0,0,0,0,,0,,,,0,,PBOT LEAF INFO
9,8/2/2021,13.8214283,,56,94.10713959,34.2678566,0,108,4,2,42,2.904761791,0,,1.57,96.55,2,93.1,PKS All Oth 160
10,8/3/2021,16.87719345,21.64999962,342,91.59648895,3.002923965,20,599,9,8,257,14.59143925,0,,40.78,92.43,8,90.81,I_R English 31
11,8/3/2021,19.875,,8,95.125,0,0,76,0,0,6,1,0,,1.2,100,0,87.5,I_R Spanish 32
12,8/3/2021,15.71428585,86,7,84.7142868,0,1,86,0,0,4,2.75,0,,0.22,87.5,0,0,ONI
13,8/3/2021,88,,3,145.6666718,0,0,180,0,0,1,1,0,,0.16,100,0,0,Noise Control
14,8/3/2021,10.83333302,,6,163.8333282,74.66666412,0,23,0,0,1,1,0,,0.56,100,0,0,PKS Washington 311
15,8/3/2021,65.7142868,6,7,186.5714264,815.7142944,1,380,0,1,3,1,0,,3.28,77.78,1,0,PBOT Safe
16,8/3/2021,24.4883728,,43,112.6046524,0,0,495,0,1,42,39.07143021,0,,16.12,97.73,0,0,PBOT Main
17,8/3/2021,,,0,,,0,0,0,0,0,,0,,,,0,,PBOT LEAF INFO
18,8/3/2021,14,,46,57.80434799,0,0,84,6,0,39,1.051282048,0,,0.56,100,0,91.3,PKS All Oth 160
19,8/4/2021,10.59872627,3.263157845,314,98.28662109,1.334394932,19,88,6,5,229,26.0524025,0,,21.42,92.9,5,92.9,I_R English 31
20,8/4/2021,6,,1,78,0,0,6,0,0,1,1,0,,0.06,100,0,100,I_R Spanish 32
21,8/4/2021,17,3,6,57.66666794,0,1,55,0,0,6,1,0,,0.12,85.71,0,0,ONI
22,8/4/2021,20.5,,4,348.5,0,0,54,0,0,0,,0,,0.47,100,0,0,Noise Control
23,8/4/2021,6.5,,2,315,0,0,20,0,1,0,,0,,0.21,66.67,1,0,PKS Washington 311
24,8/4/2021,9.909090996,,11,175.0909119,370.4545593,0,19,0,0,6,2.833333254,0,,2.29,100,0,0,PBOT Safe
25,8/4/2021,44.68518448,,54,85.1111145,0,0,394,0,0,43,10.1627903,0,,17.94,100,0,0,PBOT Main
26,8/4/2021,,,0,,,0,0,0,0,0,,0,,,,0,,PBOT LEAF INFO
27,8/4/2021,9.733333588,5,30,103.2666702,0,1,31,2,0,18,0.833333313,0,,0.66,96.77,0,93.55,PKS All Oth 160
28,8/5/2021,13.27672958,5.307692528,318,92.74528503,25.85534668,26,103,10,10,245,23.7306118,0,,42.5,89.83,10,89.27,I_R English 31
29,8/5/2021,11,2,2,39,0,1,13,0,0,2,1,0,,0.07,66.67,0,66.67,I_R Spanish 32
30,8/5/2021,34,,3,110.6666641,0,0,84,0,0,2,1,0,,0.15,100,0,0,ONI
31,8/5/2021,9.666666985,,3,70,0,0,17,0,0,3,1,0,,0.09,100,0,0,Noise Control
32,8/5/2021,11,,3,74.66666412,0,0,15,0,0,0,,0,,0.1,100,0,0,PKS Washington 311
33,8/5/2021,22.75,,4,154.5,0,0,59,0,0,6,5,0,,2.11,100,0,0,PBOT Safe
34,8/5/2021,8.897436142,,39,73.89743805,0,0,47,0,0,33,8.666666985,0,,9.11,100,0,0,PBOT Main
35,8/5/2021,,,0,,,0,0,0,0,0,,0,,,,0,,PBOT LEAF INFO
36,8/5/2021,15.5,,34,137.7941132,0.882352948,0,45,6,2,20,0.800000012,0,,1.06,94.44,2,80.56,PKS All Oth 160
