"address","graffiti_contractors","created_at","customfld_lat","customfld_lon","group_id","hate_gang","ticket_id","loc_details","loc_name","public_description","url","responsible_party","sqft_abated","graffiti_status_primary","graffiti_status_details","status","square_footage"
"**Address:** 2118 SE DIVISION ST, Portland, OREGON 97202","graffiti_removal_services_grs","2023-03-21T16:03:20Z","45.50467","-122.64415",8559017236631,"FALSE",67401,"NA","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/67401.json","Contractor","","Solved","Cleaned by contractor","solved","2"
"**Address:** 2002 SE DIVISION ST, Portland, OREGON 97202","graffiti_removal_services_grs","2023-03-21T16:02:16Z","45.50472","-122.64543",8559017236631,"FALSE",67398,"NA","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/67398.json","Contractor","","Solved","Cleaned by contractor","solved","5"
"**Address:** 400 N THOMPSON ST, Portland, OREGON 97227",NA,"2023-03-21T12:24:16Z","45.53877116459408","-122.66970813274385",8559017236631,"FALSE",67351,"**Location Details:** Highwall wall","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/67351.json","Contractor","","Open",NA,"new",NA
"**Address:** 3129 SW 1ST AVE, Portland, OREGON 97239",NA,"2023-03-21T05:30:33Z","45.50028","-122.67918",8559017236631,"FALSE",67349,"NA","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/67349.json","Property Owner","","Solved","Cleaned by property owner","solved",NA
"**Address:** 3553 SE Stark St.",NA,"2023-03-21T04:54:07Z","45.52035485052296","-122.62584323412739",8559017236631,"FALSE",67348,"**Location Details:** Garbage can tagged at the entrance at 37th Ave.","**Location name:** Laurelhurst Park",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/67348.json","Parks","","Solved","Referred to parks","solved",NA
"**Address:** 510 N RUSSELL ST, Portland, OREGON 97227",NA,"2023-03-21T04:49:13Z","45.540623522580056","-122.67110824584962",8559017236631,"FALSE",67347,"NA","**Location name:** Sherwin Williams Auto",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/67347.json","Contractor","","Open",NA,"new",NA
"**Address:** 2401 SW 4TH AVE, Portland, OREGON 97201",NA,"2023-03-21T04:44:24Z","45.50598598346915","-122.68256664276124",8559017236631,"FALSE",67346,"**Location Details:** Caruthers exit and Hospital signs","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/67346.json","Contractor","","Open",NA,"new",NA
"**Address:** 410 NW 21ST AVE, Portland, OREGON 97209",NA,"2023-03-21T04:21:15Z","45.52581","-122.69409",8559017236631,"FALSE",67344,"**Location Details:** Trash cans behind the Carina Lounge restaurant have graffiti.","**Location name:** Carina Lounge",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/67344.json","Public Partner","","Solved","Referred to public partner","solved",NA
"**Address:** 2195 NW FLANDERS ST, Portland, OREGON 97210",NA,"2023-03-21T04:16:20Z","45.52571","-122.69621",8559017236631,"FALSE",67343,"**Location Details:** Large circular yellow traffic divider on corner of NW 22nd and NW Flanders St.","**Location name:** yellow traffic divider",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/67343.json","Contractor","","Solved",NA,"solved",NA
"**Address:** 2015 NW FLANDERS ST, Portland, OREGON 97209",NA,"2023-03-21T04:10:20Z","45.52577","-122.69276",8559017236631,"FALSE",67342,"**Location Details:** This is on the side of NW 20th near 2015 NW Flanders St.","**Location name:** metal plate on sidewalk",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/67342.json","Contractor","","Open",NA,"new",NA
